{'cpu': 12.0, 'memory': 63.0, 'disk': 10.8}
{'cpu': 13.5, 'memory': 63.0, 'disk': 10.8}
{'cpu': 13.0, 'memory': 63.0, 'disk': 10.8}
{'cpu': 12.8, 'memory': 63.0, 'disk': 10.8}
{'cpu': 11.9, 'memory': 63.0, 'disk': 10.8}
{'cpu': 12.5, 'memory': 63.0, 'disk': 10.8}
{'cpu': 11.8, 'memory': 63.0, 'disk': 10.8}
{'cpu': 12.0, 'memory': 63.0, 'disk': 10.8}
{'cpu': 12.1, 'memory': 63.0, 'disk': 10.8}
{'cpu': 13.6, 'memory': 63.0, 'disk': 10.8}
{'cpu': 12.3, 'memory': 63.0, 'disk': 10.8}
{'cpu': 12.7, 'memory': 62.9, 'disk': 10.8}
{'cpu': 12.8, 'memory': 63.0, 'disk': 10.8}
{'cpu': 12.5, 'memory': 63.0, 'disk': 10.8}
{'cpu': 12.3, 'memory': 63.0, 'disk': 10.8}
{'cpu': 12.2, 'memory': 63.0, 'disk': 10.8}
{'cpu': 11.8, 'memory': 63.0, 'disk': 10.8}
{'cpu': 12.7, 'memory': 63.0, 'disk': 10.8}
{'cpu': 11.8, 'memory': 63.0, 'disk': 10.8}
{'cpu': 12.8, 'memory': 63.0, 'disk': 10.8}
{'cpu': 12.7, 'memory': 63.0, 'disk': 10.8}
{'cpu': 12.0, 'memory': 63.0, 'disk': 10.8}
{'cpu': 11.9, 'memory': 63.0, 'disk': 10.8}
{'cpu': 13.1, 'memory': 63.0, 'disk': 10.8}
{'cpu': 14.0, 'memory': 63.0, 'disk': 10.8}
{'cpu': 13.5, 'memory': 63.0, 'disk': 10.8}
{'cpu': 12.5, 'memory': 63.1, 'disk': 10.8}
{'cpu': 13.1, 'memory': 63.0, 'disk': 10.8}
{'cpu': 12.3, 'memory': 63.0, 'disk': 10.8}
{'cpu': 12.9, 'memory': 63.1, 'disk': 10.8}
{'cpu': 13.2, 'memory': 63.0, 'disk': 10.8}
{'cpu': 13.0, 'memory': 63.1, 'disk': 10.8}
{'cpu': 13.1, 'memory': 63.0, 'disk': 10.8}
{'cpu': 12.6, 'memory': 63.0, 'disk': 10.8}
{'cpu': 12.8, 'memory': 63.0, 'disk': 10.8}
{'cpu': 13.7, 'memory': 63.0, 'disk': 10.8}
{'cpu': 12.6, 'memory': 63.0, 'disk': 10.8}
{'cpu': 13.6, 'memory': 63.0, 'disk': 10.8}
{'cpu': 11.6, 'memory': 63.0, 'disk': 10.8}
